"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0265575","FBgn0265575",0.488808660863762,1,-92.8820483888929,-95.6017583405446,13,7,744.18450962237,0,0,0,FALSE
"FBgn0265576","FBgn0265576",0.116739347445969,0.94676809818053,-103.169624834624,-108.266336279622,13,7,907.91586676504,0,0,0,FALSE
"FBgn0265578","FBgn0265578",0.196853211115429,0.987327984590393,-74.827235571267,-79.1312375760018,13,7,160.350214709889,0,0,0,FALSE
"FBgn0265579","FBgn0265579",0.153494903151925,0.955711968596506,-76.1481024599579,-80.8362523598277,13,7,134.319212823021,0,0,0,FALSE
"FBgn0265581","FBgn0265581",0.547380817745041,1,-75.5790669569791,-78.0651778000849,13,7,164.651844170205,0,0,0,FALSE
"FBgn0265582","FBgn0265582",0.229314560848998,1,-40.262557437678,-44.323461126412,13,7,11.7547486181969,0,0,0,FALSE
"FBgn0265584","FBgn0265584",0.789171253944179,1,-57.3427698217879,-58.9202120158905,13,7,31.1461633375767,0,0,0,FALSE
"FBgn0265585","FBgn0265585",0.247781558962956,1,-82.0423012750396,-85.9773109912537,13,7,268.190567774174,0,0,0,FALSE
"FBgn0265586","FBgn0265586",0.014375214201458,0.682311014402763,-71.6012652852636,-79.5446129172146,13,7,134.184964975639,0,0,0,FALSE
"FBgn0265588","FBgn0265588",0.997425540387263,1,-40.2632295963749,-40.5292841128614,13,7,6.36432285951336,0,0,0,FALSE
"FBgn0265589","FBgn0265589",0.964356996594173,1,-41.5603419471451,-42.272544637333,13,7,7.77257982818414,0,0,0,FALSE
"FBgn0265590","FBgn0265590",0.955340293835374,1,-83.2069364232116,-83.987434732932,13,7,369.663431961631,0,0,0,FALSE
"FBgn0265591","FBgn0265591",0.151252666503042,0.955711968596506,-71.5898975783414,-76.3003587529638,13,7,107.31577201024,0,0,0,FALSE
"FBgn0265592","FBgn0265592",0.273769812956972,1,-63.4366700948904,-67.2067119958053,13,7,50.8522230763899,0,0,0,FALSE
"FBgn0265593","FBgn0265593",0.134283177583149,0.95203251774671,-79.3062134190465,-84.1955964051101,13,7,191.33919912939,0,0,0,FALSE
"FBgn0265595","FBgn0265595",0.93971525842705,1,-68.2117603011713,-69.0959864459655,13,7,129.399463364572,0,0,0,FALSE
"FBgn0265596","FBgn0265596",0.90037667755891,1,-48.9688795374974,-50.0690761770915,13,7,25.6223475525277,0,0,0,FALSE
"FBgn0265597","FBgn0265597",0.98665955723115,1,-50.244975784359,-50.7308648030218,13,7,24.8285187325127,0,0,0,FALSE
"FBgn0265598","FBgn0265598",0.983782319142602,1,-78.5656467042857,-79.0889663572321,13,7,311.341367637283,0,0,0,FALSE
"FBgn0265605","FBgn0265605",0.449914993252625,1,-90.4609469827007,-93.3439121099795,13,7,1182.36907147396,0,0,0,FALSE
"FBgn0265606","FBgn0265606",0.24846090617506,1,-86.5578586566591,-90.4883839719322,13,7,258.652791565155,0,0,0,FALSE
"FBgn0265610","FBgn0265610",0.573953402368765,1,-45.0802487247008,-47.4640240477395,13,7,15.4596055525883,0,0,0,FALSE
"FBgn0265611","FBgn0265611",0.976120477333951,1,-56.9258757399942,-57.5335434173078,13,7,48.7244594156126,0,0,0,FALSE
"FBgn0265612","FBgn0265612",0.914745789353173,1,-46.4939681379048,-47.5205444234185,13,7,9.65283388524052,0,0,0,FALSE
"FBgn0265613","FBgn0265613",0.541717205671146,1,-47.9759995411153,-50.4841769458674,13,7,21.4593558837711,0,0,0,FALSE
"FBgn0265614","FBgn0265614",0.235589649716098,1,-48.9476584093652,-52.9648876337198,13,7,18.2302724930744,0,0,0,FALSE
"FBgn0265623","FBgn0265623",0.523908132135662,1,-93.3839690063796,-95.9622002325271,13,7,747.16337763663,0,0,0,FALSE
"FBgn0265625","FBgn0265625",0.467928089457352,1,-110.147240647618,-112.953646480198,13,7,1291.90617794148,0,0,0,FALSE
"FBgn0265629","FBgn0265629",0.494509992635086,1,-81.4594614167761,-84.1558482855632,13,7,219.656426338815,0,0,0,FALSE
"FBgn0265630","FBgn0265630",0.254415095578154,1,-111.416237297955,-115.30787448728,13,7,2014.91962921052,0,0,0,FALSE
"FBgn0265633","FBgn0265633",0.999350466287558,1,-48.347673823969,-48.5115975589208,13,7,16.3357024992312,0,0,0,FALSE
"FBgn0265634","FBgn0265634",0.935414294473108,1,-47.8004241501301,-48.7108568123101,13,7,22.1241357743835,0,0,0,FALSE
"FBgn0265635","FBgn0265635",0.174202775545961,0.971078487997949,-53.5797956024633,-58.0742501635344,13,7,26.823407845902,0,0,0,FALSE
"FBgn0265638","FBgn0265638",0.79573189323979,1,-42.1497388119634,-43.701555533746,13,7,6.70992426483693,0,0,0,FALSE
"FBgn0265641","FBgn0265641",0.936018940706912,1,-50.6138569214845,-51.5206556424503,13,7,17.1390298205476,0,0,0,FALSE
"FBgn0265645","FBgn0265645",0.197051722604209,0.987327984590393,-54.3857502087613,-58.6881669890201,13,7,31.5028683304216,0,0,0,FALSE
"FBgn0265648","FBgn0265648",0.1197163668192,0.94676809818053,-109.984576514765,-115.044235655696,13,7,1355.02032013128,0,0,0,FALSE
"FBgn0265650","FBgn0265650",0.701398844712134,1,-38.1448072685508,-40.0534044744639,13,7,7.17107457776817,0,0,0,FALSE
"FBgn0265653","FBgn0265653",0.0709821678154218,0.916607780201773,-52.1692297056199,-57.9796469456608,13,7,37.4521454853471,0,0,0,FALSE
"FBgn0265654","FBgn0265654",0.994087547520689,1,-35.9090338977957,-36.2681846861042,13,7,6.74793323425182,0,0,0,FALSE
"FBgn0265657","FBgn0265657",0.120533522347494,0.94676809818053,-69.8638351186213,-74.9134675711521,13,7,99.2948595674433,0,0,0,FALSE
"FBgn0265658","FBgn0265658",0.98566867298815,1,-41.3889703036588,-41.8882262170837,13,7,9.04040896091392,0,0,0,FALSE
"FBgn0265660","FBgn0265660",0.951045424883106,1,-41.7681264070563,-42.5786974028059,13,7,8.90839351117781,0,0,0,FALSE
"FBgn0265661","FBgn0265661",0.337453574510101,1,-45.9294351163127,-49.3413166613068,13,7,18.1744820962592,0,0,0,FALSE
"FBgn0265665","FBgn0265665",0.249425228866035,1,-87.9398824129383,-91.8640591023438,13,7,277.852283825084,0,0,0,FALSE
"FBgn0265666","FBgn0265666",0.20632574511459,0.989197415210055,-53.2978739949714,-57.5276857586407,13,7,44.8281125627821,0,0,0,FALSE
"FBgn0265667","FBgn0265667",0.581391526306551,1,-56.3097614250217,-58.665206326755,13,7,37.7626865147683,0,0,0,FALSE
"FBgn0265670","FBgn0265670",0.271094551260446,1,-86.7190561746586,-90.5054920913389,13,7,285.558726824046,0,0,0,FALSE
"FBgn0265672","FBgn0265672",0.198872814596119,0.987327984590393,-85.4655599611948,-89.7534966705611,13,7,272.134193616082,0,0,0,FALSE
"FBgn0265673","FBgn0265673",0.232025674818499,1,-97.0781471948747,-101.120063309296,13,7,687.730131882962,0,0,0,FALSE
"FBgn0265674","FBgn0265674",0.4419425436166,1,-54.8288818115977,-57.7463064482211,13,7,30.884022280304,0,0,0,FALSE
"FBgn0265676","FBgn0265676",0.830240029713673,1,-56.6075940623679,-58.0210359470208,13,7,25.2873422372255,0,0,0,FALSE
"FBgn0265677","FBgn0265677",0.392694166858621,1,-51.6626486010124,-54.8020495044737,13,7,22.799639425935,0,0,0,FALSE
"FBgn0265679","FBgn0265679",0.660405013166623,1,-67.111276270859,-69.1714092733374,13,7,64.8361178772864,0,0,0,FALSE
"FBgn0265680","FBgn0265680",0.608575063172567,1,-46.8887093751043,-49.1415742529313,13,7,18.761395675723,0,0,0,FALSE
"FBgn0265682","FBgn0265682",0.778005725802032,1,-41.3775335414841,-42.9981940609313,13,7,6.70432951002227,0,0,0,FALSE
"FBgn0265683","FBgn0265683",0.499049717694769,1,-62.4630524721759,-65.1409682902922,13,7,45.9552119771356,0,0,0,FALSE
"FBgn0265684","FBgn0265684",0.323230380418897,1,-59.2464079687483,-62.7335584366307,13,7,33.6649676156744,0,0,0,FALSE
"FBgn0265685","FBgn0265685",0.905192867674023,1,-50.7712506692817,-51.8472952174253,13,7,17.2132208999416,0,0,0,FALSE
"FBgn0265686","FBgn0265686",0.944838971839862,1,-61.3839783921359,-62.2358044390465,13,7,40.6256287498814,0,0,0,FALSE
"FBgn0265687","FBgn0265687",0.444218366659201,1,-34.2746100301301,-37.1821601052568,13,7,6.55659122686038,0,0,0,FALSE
"FBgn0265688","FBgn0265688",0.943967650415486,1,-46.1226556454503,-46.9800897659198,13,7,11.1740268645993,0,0,0,FALSE
"FBgn0265689","FBgn0265689",0.197294641957526,0.987327984590393,-91.9712107684721,-96.2716895306564,13,7,466.710775980807,0,0,0,FALSE
"FBgn0265690","FBgn0265690",0.681113464390736,1,-50.3266600890632,-52.3102669213792,13,7,21.157235742814,0,0,0,FALSE
"FBgn0265691","FBgn0265691",0.884918373243216,1,-39.1281267007331,-40.3028663800596,13,7,8.30624943909627,0,0,0,FALSE
"FBgn0265694","FBgn0265694",0.461523039322739,1,-72.2867608112606,-75.1201910780021,13,7,75.5989688475307,0,0,0,FALSE
"FBgn0265696","FBgn0265696",0.555408988125713,1,-68.3970747794322,-70.8520676871628,13,7,84.1983005295035,0,0,0,FALSE
"FBgn0265699","FBgn0265699",0.999783966249444,1,-47.4636201258151,-47.5757437029415,13,7,12.0117699386845,0,0,0,FALSE
"FBgn0265702","FBgn0265702",0.035932816473113,0.88464877698228,-73.1024441356804,-79.8455478942395,13,7,136.835038226712,0,0,0,FALSE
"FBgn0265704","FBgn0265704",0.82923460313816,1,-45.3414669684733,-46.7590422125118,13,7,11.4909339183096,0,0,0,FALSE
"FBgn0265705","FBgn0265705",0.451644284336201,1,-53.3567626889879,-56.2323013513648,13,7,46.3872004884055,0,0,0,FALSE
"FBgn0265708","FBgn0265708",0.188717232200982,0.984929013545041,-53.1609425528461,-57.5311053720663,13,7,29.7420610288579,0,0,0,FALSE
"FBgn0265711","FBgn0265711",0.0455990433866143,0.889161327446956,-36.5867305140706,-43.0081988931964,13,7,9.75736556816199,0,0,0,FALSE
"FBgn0265712","FBgn0265712",0.395465453474355,1,-58.0007264837197,-61.1271728027263,13,7,46.088769344218,0,0,0,FALSE
"FBgn0265713","FBgn0265713",0.411116005194349,1,-68.757955992505,-71.8123439256838,13,7,110.793089447683,0,0,0,FALSE
"FBgn0265714","FBgn0265714",0.754251386067661,1,-37.5820370766525,-39.2932839215364,13,7,6.33335209422539,0,0,0,FALSE
