"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0261504","FBgn0261504",0.900421801225369,1,-96.9591282249764,-98.0591008156411,13,7,367.829940970529,0,0,0,FALSE
"FBgn0261505","FBgn0261505",0.742836198316603,1,-98.6950863160119,-100.449344833093,13,7,1426.94205819335,0,0,0,FALSE
"FBgn0261506","FBgn0261506",0.0404399963015608,0.38408189838483,-50.9098269054435,-57.4939714297628,13,7,29.850830460522,0,0,0,FALSE
"FBgn0261507","FBgn0261507",0.569408517886587,1,-56.147031069328,-58.5481803026287,13,7,31.3522521925816,0,0,0,FALSE
"FBgn0261508","FBgn0261508",0.377949755576534,0.994456451699887,-99.9450704615845,-103.154449503405,13,7,279.334286664747,0,0,0,FALSE
"FBgn0261509","FBgn0261509",0.00307570031271145,0.115253873505886,-62.4529784385101,-72.3248334443823,13,7,104.384067709057,0,0,0,FALSE
"FBgn0261514","FBgn0261514",0.759793967396838,1,-70.574554523757,-72.2648074878963,13,7,60.5126212619784,0,0,0,FALSE
"FBgn0261522","FBgn0261522",0.0446317104081539,0.396848541837869,-107.264290614889,-113.714899576045,13,7,1136.42270612228,0,0,0,FALSE
"FBgn0261523","FBgn0261523",0.257125347494357,0.835388919017047,-70.6670719872316,-74.5412489364711,13,7,89.7786303962515,0,0,0,FALSE
"FBgn0261524","FBgn0261524",0.845009354856536,1,-102.852806368693,-104.204659415003,13,7,1546.55812469609,0,0,0,FALSE
"FBgn0261526","FBgn0261526",0.774653042210668,1,-41.3714278957431,-43.0049779194539,13,7,7.34354625273434,0,0,0,FALSE
"FBgn0261529","FBgn0261529",0.105343392069537,0.557913585154965,-111.109077173049,-116.35591313444,13,7,1297.92866208239,0,0,0,FALSE
"FBgn0261530","FBgn0261530",0.99344938880472,1,-80.7812359304003,-81.1541237782535,13,7,521.936181202792,0,0,0,FALSE
"FBgn0261531","FBgn0261531",0.233421661728513,0.798193780020603,-109.201010531817,-113.233220334442,13,7,1083.49283518103,0,0,0,FALSE
"FBgn0261532","FBgn0261532",0.1328468640326,0.615367064852298,-95.2552522066117,-100.160677310171,13,7,1124.84713294591,0,0,0,FALSE
"FBgn0261535","FBgn0261535",0.757259400991457,1,-76.074742994093,-77.774605883148,13,7,334.289381473546,0,0,0,FALSE
"FBgn0261545","FBgn0261545",0.196594142508588,0.72828248083274,-96.1669724648893,-100.473045301808,13,7,815.48029370017,0,0,0,FALSE
"FBgn0261547","FBgn0261547",0.895693654130686,1,-120.715099012231,-121.838330787152,13,7,3278.85534461431,0,0,0,FALSE
"FBgn0261548","FBgn0261548",0.459300237787058,1,-118.924488823185,-121.767347803604,13,7,3969.42537250056,0,0,0,FALSE
"FBgn0261549","FBgn0261549",0.0125599318954228,0.242923655154151,-97.6216027449699,-105.737756264929,13,7,1186.38555168791,0,0,0,FALSE
"FBgn0261550","FBgn0261550",0.320808908439207,0.929918446542211,-124.133731024255,-127.633938054608,13,7,7336.95523959091,0,0,0,FALSE
"FBgn0261552","FBgn0261552",0.229762908432284,0.79108074114622,-137.703659403043,-141.761410410102,13,7,11188.4426986119,0,0,0,FALSE
"FBgn0261553","FBgn0261553",0.0652029465771716,0.462297144769688,-111.457013001711,-117.386220790581,13,7,2667.88909262167,0,0,0,FALSE
"FBgn0261554","FBgn0261554",0.0474085493632141,0.404793851666516,-124.083629871877,-130.452108400438,13,7,4690.0208468898,0,0,0,FALSE
"FBgn0261555","FBgn0261555",0.805869774004547,1,-93.2435080028896,-94.7553446370308,13,7,799.637073882943,0,0,0,FALSE
"FBgn0261556","FBgn0261556",0.39031930570484,1,-101.8382014359,-104.98875245628,13,7,1202.52657931961,0,0,0,FALSE
"FBgn0261560","FBgn0261560",0.112721352362909,0.571690364772843,-130.992564170638,-136.140645358938,13,7,7845.09799532886,0,0,0,FALSE
"FBgn0261561","FBgn0261561",0.205351415767378,0.746179371312435,-122.330345130768,-126.567654732818,13,7,3015.45582909277,0,0,0,FALSE
"FBgn0261562","FBgn0261562",0.931278616054492,1,-72.4991444068611,-73.4340233227729,13,7,386.580186446208,0,0,0,FALSE
"FBgn0261563","FBgn0261563",0.161914957436715,0.668832563319086,-87.9445617051857,-92.5513802452603,13,7,406.565530576083,0,0,0,FALSE
"FBgn0261564","FBgn0261564",0.96530073824902,1,-100.089568391909,-100.794132830875,13,7,2508.3340153966,0,0,0,FALSE
"FBgn0261565","FBgn0261565",0.602409278679347,1,-127.038905502548,-129.314919480789,13,7,5857.10734465568,0,0,0,FALSE
"FBgn0261568","FBgn0261568",0.939081638193317,1,-95.981875466943,-96.8700161148487,13,7,470.191257117448,0,0,0,FALSE
"FBgn0261570","FBgn0261570",0.141726689871303,0.632037846582118,-97.1273569852267,-101.935948866142,13,7,1229.16787393104,0,0,0,FALSE
"FBgn0261571","FBgn0261571",0.0400023716847953,0.382628477402635,-84.349388443493,-90.9482157830737,13,7,199.820903110607,0,0,0,FALSE
"FBgn0261573","FBgn0261573",0.013083443358866,0.249261846740409,-87.1158986016541,-95.1798730895627,13,7,1463.1399327239,0,0,0,FALSE
"FBgn0261574","FBgn0261574",0.0161645389587079,0.265072650834189,-93.773365513462,-101.56578645592,13,7,700.760756681388,0,0,0,FALSE
"FBgn0261575","FBgn0261575",0.712759044352691,1,-174.160347505161,-176.026834280113,13,7,37264.9212981225,0,0,0,FALSE
"FBgn0261581","FBgn0261581",0.109063714019864,0.565218056040029,-82.9701446235556,-88.1664340734899,13,7,224.770990646831,0,0,0,FALSE
"FBgn0261582","FBgn0261582",0.00747569906121645,0.180434609483532,-92.2163563657299,-100.988871001212,13,7,447.717709353164,0,0,0,FALSE
"FBgn0261583","FBgn0261583",0.490168311319751,1,-68.7943653008591,-71.5085002210442,13,7,76.1086743232198,0,0,0,FALSE
"FBgn0261584","FBgn0261584",0.040177821145293,0.383202707619837,-74.4767350682001,-81.0696578272124,13,7,164.607522117023,0,0,0,FALSE
"FBgn0261586","FBgn0261586",0.0420026866735992,0.388355375530413,-56.9803361813481,-63.513241657883,13,7,45.7937141898852,0,0,0,FALSE
"FBgn0261587","FBgn0261587",0.03048314861783,0.341405831576009,-80.1933815126695,-87.1559738982774,13,7,221.540608085066,0,0,0,FALSE
"FBgn0261588","FBgn0261588",0.0354300565658972,0.362136556271721,-79.1014115484142,-85.8633972068015,13,7,296.791172559976,0,0,0,FALSE
"FBgn0261592","FBgn0261592",0.666757918639683,1,-155.232324722917,-157.268972954554,13,7,44247.0792632567,0,0,0,FALSE
"FBgn0261593","FBgn0261593",0.90821278141218,1,-155.549223258153,-156.609865609331,13,7,38916.6268022139,0,0,0,FALSE
"FBgn0261596","FBgn0261596",0.446256012812771,1,-143.332021933597,-146.230756629341,13,7,21893.1983981354,0,0,0,FALSE
"FBgn0261597","FBgn0261597",0.554672928599439,1,-158.050379315601,-160.508217647561,13,7,48258.5047995874,0,0,0,FALSE
"FBgn0261599","FBgn0261599",0.898886416932857,1,-148.876523757358,-149.984097005034,13,7,30531.637132243,0,0,0,FALSE
"FBgn0261602","FBgn0261602",0.712350498907444,1,-159.311315369094,-161.179318502872,13,7,52829.0190625528,0,0,0,FALSE
"FBgn0261606","FBgn0261606",0.731128424592748,1,-155.373774237467,-157.17187945708,13,7,42622.884491088,0,0,0,FALSE
"FBgn0261608","FBgn0261608",0.506662028352819,1,-145.014939294075,-147.662074104353,13,7,17722.4873017398,0,0,0,FALSE
"FBgn0261609","FBgn0261609",0.416230882370142,1,-110.580460177943,-113.61168528395,13,7,4021.37134605041,0,0,0,FALSE
"FBgn0261610","FBgn0261610",0.869579994697884,1,-88.0517130391235,-89.296736103889,13,7,383.18715108275,0,0,0,FALSE
"FBgn0261611","FBgn0261611",0.870594333927304,1,-80.6995007076945,-81.9399721501804,13,7,247.718393665932,0,0,0,FALSE
"FBgn0261612","FBgn0261612",0.187373653488918,0.715713765056615,-69.6035428263759,-73.9848627042814,13,7,187.121478687298,0,0,0,FALSE
"FBgn0261613","FBgn0261613",0.789461774799302,1,-43.0783888444563,-44.6547000956,13,7,15.7687729031964,0,0,0,FALSE
"FBgn0261614","FBgn0261614",0.0112337704394232,0.226666408448478,-82.7466257214484,-91.0049555015888,13,7,215.544421462401,0,0,0,FALSE
"FBgn0261617","FBgn0261617",2.25843627693915e-06,0.000635600595474624,-114.145499921099,-132.368062765847,13,7,2627.00549098464,0,0,0,FALSE
"FBgn0261618","FBgn0261618",0.156194790959279,0.662614832658551,-137.556351155817,-142.218009203221,13,7,8278.39715985298,0,0,0,FALSE
"FBgn0261624","FBgn0261624",0.0393552555191453,0.380078419502321,-89.9185727737134,-96.5393907743316,13,7,413.937611555809,0,0,0,FALSE
"FBgn0261625","FBgn0261625",0.573711313994828,1,-131.580077124822,-133.964776648128,13,7,2574.66456219532,0,0,0,FALSE
"FBgn0261627","FBgn0261627",0.252637416338782,0.828496894845892,-93.8944926796114,-97.7976631614177,13,7,445.315888383906,0,0,0,FALSE
"FBgn0261628","FBgn0261628",0.836934665445777,1,-69.4011062777446,-70.7868403971827,13,7,78.6076430776018,0,0,0,FALSE
"FBgn0261631","FBgn0261631",0.0417378535402927,0.388355375530413,-71.9534485230372,-78.4949102431093,13,7,138.050247314489,0,0,0,FALSE
"FBgn0261636","FBgn0261636",0.971253544667818,1,-43.7504367910328,-44.4040877093721,13,7,9.18615921993094,0,0,0,FALSE
"FBgn0261639","FBgn0261639",0.991197295213377,1,-106.154242136361,-106.570080600499,13,7,2006.93326373507,0,0,0,FALSE
"FBgn0261640","FBgn0261640",0.989560925019198,1,-104.993276268509,-105.436375026185,13,7,1878.1638505134,0,0,0,FALSE
"FBgn0261641","FBgn0261641",0.00841110408552237,0.193400148619983,-105.803261670688,-114.427657038375,13,7,2111.0529959612,0,0,0,FALSE
"FBgn0261647","FBgn0261647",0.134228751633405,0.616840483075244,-91.8014292033225,-96.6914173039408,13,7,979.623273119498,0,0,0,FALSE
"FBgn0261648","FBgn0261648",0.00778209766903508,0.185013096196092,-102.198970853062,-110.921083088973,13,7,1044.63548162417,0,0,0,FALSE
"FBgn0261649","FBgn0261649",0.0430343716491931,0.393397414826486,-79.7147239908064,-86.2147735899641,13,7,207.679146524676,0,0,0,FALSE
"FBgn0261671","FBgn0261671",0.020735592812575,0.293600751294747,-117.738220982468,-125.207778058642,13,7,2879.76327229094,0,0,0,FALSE
"FBgn0261673","FBgn0261673",0.928761845579467,1,-120.20470368558,-121.154130705626,13,7,3578.64953713371,0,0,0,FALSE
"FBgn0261674","FBgn0261674",0.258138677827213,0.836933527579177,-90.6424261554488,-94.510112663361,13,7,927.128803629404,0,0,0,FALSE
