"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0034681","FBgn0034681",0.0105397667842619,0.0989062769909832,-83.8960336664755,-92.2353526856332,13,7,318.091273474611,0,0,0,FALSE
"FBgn0034684","FBgn0034684",0.000466206010967043,0.0123407991901163,-91.4054844273087,-103.539395611026,13,7,581.056418708531,0,0,0,FALSE
"FBgn0034687","FBgn0034687",0.0224351899978826,0.175526300218528,-92.4076795647337,-99.7743544084648,13,7,761.815809467617,0,0,0,FALSE
"FBgn0034688","FBgn0034688",0.663717410306485,1,-98.8658611997477,-100.91374765167,13,7,2337.9310747221,0,0,0,FALSE
"FBgn0034689","FBgn0034689",0.0146341256445437,0.127152935697741,-112.274121766649,-120.194550260034,13,7,2925.90129411519,0,0,0,FALSE
"FBgn0034691","FBgn0034691",0.478060744441813,1,-93.9396625193979,-96.703738353691,13,7,1567.9927099323,0,0,0,FALSE
"FBgn0034692","FBgn0034692",0.999865063234348,1,-49.7438906682864,-49.8393383586792,13,7,18.0887051240491,0,0,0,FALSE
"FBgn0034693","FBgn0034693",0.447147077739632,1,-114.147668826021,-117.042556115099,13,7,3013.60878392081,0,0,0,FALSE
"FBgn0034694","FBgn0034694",0.953667322496445,1,-98.4653046730262,-99.2576808341796,13,7,1230.09068436788,0,0,0,FALSE
"FBgn0034697","FBgn0034697",0.637890620011473,1,-90.7379381146281,-92.8814709136639,13,7,1675.10777328465,0,0,0,FALSE
"FBgn0034700","FBgn0034700",0.000446506477068591,0.0120045360829991,-53.1147491707588,-65.29951942588,13,7,33.9586830647961,0,0,0,FALSE
"FBgn0034703","FBgn0034703",0.98581469224639,1,-65.2662286140699,-65.7635486272091,13,7,106.954366995946,0,0,0,FALSE
"FBgn0034704","FBgn0034704",0.977041913259782,1,-72.8239948030321,-73.422400510227,13,7,274.969571875442,0,0,0,FALSE
"FBgn0034705","FBgn0034705",0.774933240674076,1,-78.1188163581648,-79.7512905978403,13,7,345.53507659985,0,0,0,FALSE
