"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"FBgn0031515","FBgn0031515",0.0265333659375599,0.150106199775699,-51.1352843793374,-57.4769842311272,7,2,1118.69792747823,0,0,FALSE
"FBgn0031516","FBgn0031516",0.250638403804009,0.590814634690863,-49.072167938762,-52.3811466381395,7,2,710.505902312767,0,0,FALSE
"FBgn0031517","FBgn0031517",0.64888028700778,0.999999795904049,-65.7061452347635,-67.3723607410718,7,2,8763.59857008389,0,0,FALSE
"FBgn0031518","FBgn0031518",0.222248716874794,0.548260488668228,-37.3236445352616,-40.8128644051881,7,2,65.1635593694194,0,0,FALSE
"FBgn0031519","FBgn0031519",0.455167473829129,0.850909332734759,-33.7707712101489,-36.11462719779,7,2,51.7996591353282,0,0,FALSE
"FBgn0031520","FBgn0031520",0.990717272066938,0.999999795904049,-51.3726491218822,-51.6410054772999,7,2,553.415011100129,0,0,FALSE
"FBgn0031522","FBgn0031522",0.000513575173084536,0.0136712539420716,-53.2125127640565,-64.2345889653532,7,2,1690.2707975727,0,0,FALSE
"FBgn0031523","FBgn0031523",0.0228991694976485,0.139418333915058,-51.7661651326917,-58.2920097287388,7,2,1843.05325841401,0,0,FALSE
"FBgn0031526","FBgn0031526",0.00681150494796058,0.0752166342912808,-57.3604312097767,-65.3661482268411,7,2,1731.73263834444,0,0,FALSE
"FBgn0031528","FBgn0031528",0.927977729083573,0.999999795904049,-40.0643061067656,-40.7473915912564,7,2,300.390372233208,0,0,FALSE
"FBgn0031529","FBgn0031529",0.987262420623136,0.999999795904049,-45.664992870554,-45.9729562510448,7,2,757.924147039657,0,0,FALSE
"FBgn0031530","FBgn0031530",0.0995736200976704,0.322738386251755,-40.214722519208,-44.8386982741681,7,2,223.178965832213,0,0,FALSE
"FBgn0031531","FBgn0031531",0.00585590766063089,0.0691936025857837,-50.0765265589741,-58.263051401648,7,2,656.959273022213,0,0,FALSE
"FBgn0031533","FBgn0031533",0.0567575084024457,0.226157835131202,-47.6887661259166,-53.0594154846799,7,2,268.954443498598,0,0,FALSE
"FBgn0031534","FBgn0031534",0.956599800392135,0.999999795904049,-50.4124923067607,-50.948215274872,7,2,2347.77711241228,0,0,FALSE
"FBgn0031535","FBgn0031535",0.886251038771121,0.999999795904049,-48.9697457689235,-49.8302163517579,7,2,1193.03026999697,0,0,FALSE
"FBgn0031536","FBgn0031536",0.259262025275257,0.603923952404617,-45.766828732502,-49.0244303606775,7,2,921.403503332108,0,0,FALSE
"FBgn0031538","FBgn0031538",0.891259220924372,0.999999795904049,-62.7233086841441,-63.5639104990136,7,2,3249.56583911107,0,0,FALSE
"FBgn0031540","FBgn0031540",0.0702618644971002,0.25930591109341,-30.516036567023,-35.6066173248656,7,2,81.9564373855804,0,0,FALSE
"FBgn0031542","FBgn0031542",0.938560034166181,0.999999795904049,-28.2839328564008,-28.9160924000437,7,2,30.8986605588439,0,0,FALSE
"FBgn0031544","FBgn0031544",0.494829425742452,0.890565760828511,-57.1723867086372,-59.3670384389052,7,2,4066.82063953833,0,0,FALSE
"FBgn0031545","FBgn0031545",0.0490967007929579,0.207768169092638,-76.302821878189,-81.8616439194333,7,2,15889.2926285558,0,0,FALSE
"FBgn0031546","FBgn0031546",0.0522961807501932,0.215367977313001,-61.9311784769879,-67.4082656244075,7,2,2419.29104294951,0,0,FALSE
"FBgn0031547","FBgn0031547",0.722449107728722,0.999999795904049,-36.1421030250543,-37.5692115420171,7,2,115.72220453713,0,0,FALSE
"FBgn0031548","FBgn0031548",0.770678728234756,0.999999795904049,-35.2416659606138,-36.5109402149719,7,2,284.027344885545,0,0,FALSE
"FBgn0031549","FBgn0031549",0.982384159327948,0.999999795904049,-40.7058040147333,-41.0610834309634,7,2,304.174031844104,0,0,FALSE
"FBgn0031550","FBgn0031550",0.723586334202531,0.999999795904049,-26.1000440104208,-27.5234574398699,7,2,19.2683620052638,0,0,FALSE
"FBgn0031554","FBgn0031554",0.0588948008981851,0.231316971157472,-32.5915928496956,-37.9140094636016,7,2,67.6586438504685,0,0,FALSE
"FBgn0031558","FBgn0031558",0.392208661140433,0.779407560784607,-47.569163628025,-50.1681146327507,7,2,562.806393879548,0,0,FALSE
"FBgn0031559","FBgn0031559",0.798391623556778,0.999999795904049,-41.446232993538,-42.6229374769507,7,2,178.039652613361,0,0,FALSE
"FBgn0031560","FBgn0031560",0.922771703417891,0.999999795904049,-54.4523394310535,-55.1593576412849,7,2,1490.45402707659,0,0,FALSE
"FBgn0031561","FBgn0031561",0.512487710111825,0.906270891258622,-69.8570805468436,-71.9875613850271,7,2,9031.38967294555,0,0,FALSE
"FBgn0031562","FBgn0031562",0.923786696030068,0.999999795904049,-58.2496019402843,-58.9520055371022,7,2,901.852409330165,0,0,FALSE
"FBgn0031563","FBgn0031563",0.768460177345298,0.999999795904049,-50.1079442786194,-51.3845522693651,7,2,676.755208193,0,0,FALSE
"FBgn0031564","FBgn0031564",0.823861945056928,0.999999795904049,-36.3335424424411,-37.4230476243706,7,2,105.679950531094,0,0,FALSE
"FBgn0031566","FBgn0031566",0.259473345184718,0.604215163691407,-47.6173365118594,-50.8736969374934,7,2,1153.3271001931,0,0,FALSE
"FBgn0031568","FBgn0031568",0.00210532693662721,0.0371269367338213,-34.4181721035534,-43.8119544867196,7,2,145.026045835214,0,0,FALSE
"FBgn0031571","FBgn0031571",3.51372798798413e-05,0.00150456328097106,-48.1389274013826,-62.1781037495215,7,2,740.721646561505,0,0,FALSE
"FBgn0031573","FBgn0031573",0.485500964900335,0.88041984976624,-35.1848974987146,-37.4139773640639,7,2,209.984288848029,0,0,FALSE
"FBgn0031574","FBgn0031574",0.0503288263054199,0.210610946183051,-69.2487593614552,-74.7755265268936,7,2,6516.15781812417,0,0,FALSE
"FBgn0031575","FBgn0031575",0.0272405550694288,0.152082237672305,-59.1110177065996,-65.4197149227476,7,2,1993.33405656569,0,0,FALSE
"FBgn0031579","FBgn0031579",0.546419750450434,0.938210284749962,-50.1994483892041,-52.2098672328444,7,2,251.245052263382,0,0,FALSE
"FBgn0031580","FBgn0031580",0.347468155832587,0.726802429913776,-49.8781818282486,-52.6764884095088,7,2,298.501032534975,0,0,FALSE
"FBgn0031585","FBgn0031585",0.0188153294865471,0.125981144464133,-66.100006690371,-72.8697318493334,7,2,4548.79460822339,0,0,FALSE
"FBgn0031589","FBgn0031589",0.129635212209567,0.38245938503126,-61.4591510549943,-65.7210306984272,7,2,4581.13730701306,0,0,FALSE
"FBgn0031590","FBgn0031590",0.849567603070361,0.999999795904049,-58.734757483874,-59.7332299447634,7,2,4774.13075997774,0,0,FALSE
"FBgn0031592","FBgn0031592",0.0480338395222036,0.205739776666766,-38.401404220442,-43.9884933610109,7,2,104.697929210906,0,0,FALSE
"FBgn0031596","FBgn0031596",0.0466473610012916,0.202466320130218,-42.6117335948679,-48.2365977396962,7,2,229.481868605975,0,0,FALSE
"FBgn0031597","FBgn0031597",0.831530326684373,0.999999795904049,-32.8576337434572,-33.9203522980187,7,2,151.894834782097,0,0,FALSE
"FBgn0031598","FBgn0031598",0.0303572438890191,0.160845547637714,-43.1205247534389,-49.292905873557,7,2,805.643974116602,0,0,FALSE
"FBgn0031600","FBgn0031600",0.967725128890558,0.999999795904049,-41.6984482679496,-42.1653580939502,7,2,582.560097055558,0,0,FALSE
"FBgn0031601","FBgn0031601",0.927628007729454,0.999999795904049,-36.7667459846511,-37.4514603284416,7,2,294.799386925289,0,0,FALSE
"FBgn0031602","FBgn0031602",0.603035024982184,0.984527614620884,-46.8946955277585,-48.7122989104597,7,2,289.802271138202,0,0,FALSE
"FBgn0031603","FBgn0031603",0.989015422497469,0.999999795904049,-38.3677373341721,-38.6564278707406,7,2,291.952880288409,0,0,FALSE
"FBgn0031604","FBgn0031604",0.987474020219296,0.999999795904049,-43.8285949687746,-44.1343090657717,7,2,745.105700743751,0,0,FALSE
"FBgn0031606","FBgn0031606",0.0512360913362057,0.213070315084512,-37.6767754637437,-43.180408942684,7,2,391.134993405412,0,0,FALSE
"FBgn0031607","FBgn0031607",0.526015350594936,0.918820725926933,-42.6690369099613,-44.7511735605,7,2,625.790893183092,0,0,FALSE
"FBgn0031608","FBgn0031608",0.598600759317047,0.981458078159435,-41.0217695979475,-42.8542034241966,7,2,307.383141613715,0,0,FALSE
"FBgn0031609","FBgn0031609",0.94008091873756,0.999999795904049,-41.7744619244638,-42.3990126388836,7,2,578.61516610596,0,0,FALSE
"FBgn0031610","FBgn0031610",0.931087658033076,0.999999795904049,-35.7512847394311,-36.4197424717748,7,2,245.623787725378,0,0,FALSE
"FBgn0031611","FBgn0031611",0.582280369026108,0.968415456361036,-49.3274863960543,-51.2148614895121,7,2,1203.12611467302,0,0,FALSE
